,order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty,price_total
0,2015/9/2,104,20028,301,405,offline,1005.0,11,11055.0
1,2015/9/3,102,20354,303,401,offline,1420.0,64,90880.0
2,2015/9/4,101,20586,306,407,offline,978.0,7,6846.0
3,2015/9/4,101,20230,306,407,offline,864.0,66,57024.0
4,2015/9/4,105,21619,306,402,online,274.0,102,27948.0
5,2015/9/4,102,21610,306,407,offline,614.0,452,277528.0
6,2015/9/4,101,21484,305,412,offline,307.0,69,21183.0
7,2015/9/4,103,20283,306,407,offline,605.0,168,101640.0
8,2015/9/4,102,21271,306,407,offline,471.0,153,72063.0
9,2015/9/4,103,20591,302,408,offline,483.0,803,387849.0
10,2015/9/4,103,20996,306,407,offline,434.0,1009,437906.0
11,2015/9/4,102,21469,302,408,offline,423.0,9,3807.0
12,2015/9/4,102,20283,306,407,offline,616.0,358,220528.0
13,2015/9/4,103,21412,302,408,offline,678.0,97,65766.0
14,2015/9/5,102,20092,306,407,offline,729.0,203,147987.0
15,2015/9/5,104,21183,307,403,online,430.0,145,62350.0
16,2015/9/5,105,21744,302,408,online,568.0,604,343072.0
17,2015/9/5,102,20481,306,407,offline,497.0,103,51191.0
18,2015/9/5,102,21519,303,401,offline,1024.0,53,54272.0
19,2015/9/5,102,20594,303,401,offline,2087.0,13,27131.0
20,2015/9/5,102,20518,305,412,offline,1061.0,18,19098.0
21,2015/9/5,102,20964,306,407,offline,1328.0,23,30544.0
22,2015/9/5,102,21858,306,407,offline,1117.0,23,25691.0
23,2015/9/5,101,20283,306,407,offline,603.0,52,31356.0
24,2015/9/5,103,21745,303,401,offline,1717.0,466,800122.0
25,2015/9/5,101,21601,306,407,offline,533.0,1008,537264.0
26,2015/9/5,102,21703,305,412,offline,410.0,57,23370.0
27,2015/9/5,101,20973,306,407,offline,535.0,606,324210.0
28,2015/9/6,103,20043,302,408,offline,1201.0,15,18015.0
29,2015/9/6,103,21825,302,408,offline,862.0,57,49134.0
30,2015/9/6,103,20174,303,401,offline,1662.0,39,64818.0
31,2015/9/6,103,20973,306,407,offline,539.0,35,18865.0
32,2015/9/6,102,20483,305,412,offline,311.0,59,18349.0
33,2015/9/6,102,21745,303,401,offline,1714.0,16,27424.0
34,2015/9/6,103,21271,306,407,offline,467.0,659,307753.0
35,2015/9/6,104,20944,301,405,online,496.0,53,26288.0
36,2015/9/6,105,20560,306,407,online,781.0,11,8591.0
37,2015/9/6,102,20717,303,401,offline,2366.0,41,97006.0
38,2015/9/6,102,20518,305,412,offline,1061.0,102,108222.0
39,2015/9/6,105,21619,306,402,online,270.0,1207,325890.0
40,2015/9/6,103,21271,306,407,offline,462.0,206,95172.0
41,2015/9/6,102,20620,302,408,offline,1517.0,18,27306.0
42,2015/9/6,102,21395,302,408,offline,906.0,13,11778.0
43,2015/9/6,102,20026,302,408,offline,1603.0,13,20839.0
44,2015/9/6,102,21601,306,407,offline,528.0,57,30096.0
45,2015/9/6,102,20586,306,407,offline,964.0,28,26992.0
46,2015/9/6,102,20230,306,407,offline,863.0,28,24164.0
47,2015/9/6,102,22047,306,407,offline,1000.0,21,21000.0
48,2015/9/6,101,22041,306,407,offline,802.0,33,26466.0
49,2015/9/6,101,20092,306,407,offline,730.0,77,56210.0
50,2015/9/6,101,20498,306,407,offline,677.0,165,111705.0
51,2015/9/6,103,21271,306,407,offline,464.0,987,457968.0
52,2015/9/6,101,20096,306,407,offline,950.0,66,62700.0
53,2015/9/6,102,20283,306,407,offline,601.0,61,36661.0
54,2015/9/6,103,20230,306,407,offline,865.0,22,19030.0
55,2015/9/6,101,20996,306,407,offline,438.0,54,23652.0
56,2015/9/6,101,20260,306,407,offline,615.0,52,31980.0
57,2015/9/6,101,21271,306,407,offline,460.0,154,70840.0
58,2015/9/6,101,20855,306,407,offline,1562.0,14,21868.0
59,2015/9/6,101,21297,306,407,offline,1210.0,104,125840.0
60,2015/9/6,101,21519,303,401,offline,1027.0,67,68809.0
61,2015/9/6,101,21742,303,401,offline,3011.0,23,69253.0
62,2015/9/7,101,21517,306,407,offline,853.0,9,7677.0
63,2015/9/7,105,20637,306,407,online,1062.0,8,8496.0
64,2015/9/7,105,20323,305,412,online,100.0,83,8300.0
65,2015/9/7,105,20374,305,412,online,119.0,26,3094.0
66,2015/9/7,102,20586,306,407,offline,968.0,34,32912.0
67,2015/9/7,102,21819,306,402,offline,264.0,102,26928.0
68,2015/9/7,102,22041,306,407,offline,808.0,106,85648.0
69,2015/9/7,102,20586,306,407,offline,974.0,107,104218.0
70,2015/9/7,102,20481,306,407,offline,504.0,151,76104.0
71,2015/9/7,102,21542,306,407,offline,669.0,12,8028.0
72,2015/9/7,102,20608,302,408,offline,1215.0,13,15795.0
73,2015/9/7,102,20973,306,407,offline,547.0,302,165194.0
74,2015/9/7,105,20657,303,410,offline,2999.0,13,38987.0
75,2015/9/7,102,20230,306,407,offline,871.0,106,92326.0
76,2015/9/7,102,20498,306,407,offline,683.0,102,69666.0
77,2015/9/7,102,21819,306,402,offline,277.0,164,45428.0
78,2015/9/7,103,21271,306,407,offline,471.0,151,71121.0
79,2015/9/7,103,21619,306,402,offline,265.0,206,54590.0
80,2015/9/7,103,21412,302,408,offline,665.0,601,399665.0
81,2015/9/7,101,20594,303,401,offline,2084.0,10,20840.0
82,2015/9/7,101,21742,303,401,offline,3004.0,3,9012.0
83,2015/9/7,102,21858,306,407,offline,1115.0,7,7805.0
84,2015/9/7,101,21162,306,407,offline,757.0,206,155942.0
85,2015/9/7,102,20607,306,407,offline,723.0,104,75192.0
86,2015/9/7,102,21412,302,408,offline,664.0,109,72376.0
87,2015/9/8,104,22017,301,405,online,715.0,6,4290.0
88,2015/9/8,104,20512,308,404,online,1485.0,35,51975.0
89,2015/9/8,104,20003,301,405,online,733.0,28,20524.0
90,2015/9/8,104,21181,308,404,online,610.0,67,40870.0
91,2015/9/8,103,20895,306,407,offline,805.0,12,9660.0
92,2015/9/8,103,21588,303,401,offline,1133.0,41,46453.0
93,2015/9/8,102,21703,305,412,offline,417.0,35,14595.0
94,2015/9/8,102,20586,306,407,offline,965.0,36,34740.0
95,2015/9/8,102,20780,306,407,offline,937.0,11,10307.0
96,2015/9/8,102,22041,306,407,offline,814.0,106,86284.0
97,2015/9/8,102,20916,306,407,offline,488.0,59,28792.0
98,2015/9/8,101,21052,303,401,offline,1501.0,105,157605.0
99,2015/9/8,101,20174,303,401,offline,1661.0,19,31559.0
100,2015/9/8,102,20977,302,408,offline,485.0,87,42195.0
101,2015/9/8,102,21347,303,401,offline,1136.0,54,61344.0
102,2015/9/8,101,20322,306,407,offline,754.0,58,43732.0
103,2015/9/8,103,20092,306,407,offline,736.0,157,115552.0
104,2015/9/8,101,21381,306,407,offline,1023.0,157,160611.0
105,2015/9/8,102,21121,305,412,offline,251.0,43,10793.0
106,2015/9/8,102,21271,306,407,offline,476.0,509,242284.0
107,2015/9/9,102,22001,303,401,offline,1702.0,18,30636.0
108,2015/9/9,102,21347,303,401,offline,1132.0,129,146028.0
109,2015/9/9,102,22046,305,412,offline,1202.0,46,55292.0
110,2015/9/9,102,20226,303,401,offline,938.0,106,99428.0
111,2015/9/9,102,21869,306,407,offline,915.0,26,23790.0
112,2015/9/9,103,20973,306,407,offline,533.0,459,244647.0
113,2015/9/9,103,20092,306,407,offline,738.0,153,112914.0
114,2015/9/9,103,20260,306,407,offline,618.0,108,66744.0
115,2015/9/9,103,21003,306,407,offline,598.0,105,62790.0
116,2015/9/9,103,20008,303,401,offline,662.0,12,7944.0
117,2015/9/9,102,21003,306,407,offline,609.0,408,248472.0
118,2015/9/9,104,20085,301,405,online,913.0,22,20086.0
119,2015/9/9,104,20862,307,403,online,537.0,27,14499.0
120,2015/9/9,104,21246,307,403,online,549.0,25,13725.0
121,2015/9/9,104,21088,301,405,online,775.0,15,11625.0
122,2015/9/9,105,20413,306,407,online,833.0,148,123284.0
123,2015/9/9,104,20003,301,405,online,744.0,165,122760.0
124,2015/9/9,102,20092,306,407,offline,738.0,207,152766.0
125,2015/9/9,102,21442,302,408,offline,790.0,25,19750.0
126,2015/9/9,102,21003,306,407,offline,598.0,105,62790.0
127,2015/9/9,104,21183,307,403,online,440.0,34,14960.0
128,2015/9/9,102,20230,306,407,offline,869.0,73,63437.0
129,2015/9/9,102,20650,306,407,offline,732.0,307,224724.0
130,2015/9/9,102,20996,306,407,offline,435.0,102,44370.0
131,2015/9/9,101,20662,305,412,offline,211.0,56,11816.0
132,2015/9/9,102,20895,306,407,offline,814.0,37,30118.0
133,2015/9/9,102,21619,306,402,offline,265.0,505,133825.0
134,2015/9/9,102,20189,305,412,offline,226.0,83,18758.0
135,2015/9/9,103,21920,305,412,offline,764.0,43,32852.0
136,2015/9/9,102,20323,305,412,offline,103.0,82,8446.0
137,2015/9/9,102,21297,306,407,offline,1211.0,45,54495.0
138,2015/9/9,103,21517,306,407,offline,846.0,6,5076.0
139,2015/9/9,102,20855,306,407,offline,1573.0,15,23595.0
140,2015/9/9,101,20260,306,407,offline,606.0,208,126048.0
141,2015/9/9,101,20498,306,407,offline,680.0,401,272680.0
142,2015/9/9,103,20694,305,412,offline,1411.0,22,31042.0
143,2015/9/9,101,21239,306,407,offline,1213.0,36,43668.0
144,2015/9/10,101,21381,306,407,offline,1011.0,53,53583.0
145,2015/9/10,101,21187,303,401,offline,398.0,205,81590.0
146,2015/9/10,104,22021,307,403,online,440.0,73,32120.0
147,2015/9/10,105,21744,302,408,online,566.0,51,28866.0
148,2015/9/10,103,20988,303,401,offline,502.0,103,51706.0
149,2015/9/10,103,21362,302,408,offline,1086.0,151,163986.0
150,2015/9/10,102,20895,306,407,offline,806.0,36,29016.0
151,2015/9/10,102,22046,305,412,offline,1210.0,11,13310.0
152,2015/9/10,102,21517,306,407,offline,842.0,300,252600.0
153,2015/9/10,102,20774,306,407,offline,842.0,306,257652.0
154,2015/9/10,101,21579,306,407,offline,1302.0,25,32550.0
155,2015/9/10,102,21099,306,407,offline,477.0,38,18126.0
156,2015/9/10,101,20402,303,401,offline,617.0,53,32701.0
157,2015/9/10,102,21271,306,407,offline,460.0,21,9660.0
158,2015/9/10,104,21565,307,403,offline,1402.0,10,14020.0
159,2015/9/10,103,20498,306,407,offline,682.0,57,38874.0
160,2015/9/10,101,22047,306,407,offline,1001.0,205,205205.0
161,2015/9/10,102,21402,306,407,offline,876.0,29,25404.0
162,2015/9/10,103,20459,305,412,offline,1655.0,19,31445.0
163,2015/9/10,103,20457,305,412,offline,162.0,21,3402.0
164,2015/9/10,103,20514,302,408,offline,782.0,106,82892.0
165,2015/9/10,103,20459,305,412,offline,1667.0,11,18337.0
166,2015/9/10,103,21703,305,412,offline,417.0,83,34611.0
167,2015/9/10,103,20662,305,412,offline,210.0,33,6930.0
168,2015/9/10,101,21234,302,408,offline,982.0,33,32406.0
169,2015/9/10,101,22041,306,407,offline,801.0,15,12015.0
170,2015/9/10,101,21381,306,407,offline,1017.0,82,83394.0
171,2015/9/10,102,20977,302,408,offline,498.0,29,14442.0
172,2015/9/10,101,21271,306,407,offline,475.0,85,40375.0
173,2015/9/10,103,21350,305,412,offline,250.0,33,8250.0
174,2015/9/10,101,20230,306,407,offline,869.0,44,38236.0
175,2015/9/11,102,20810,306,407,offline,670.0,23,15410.0
176,2015/9/11,101,21003,306,407,offline,599.0,105,62895.0
177,2015/9/11,101,20260,306,407,offline,604.0,539,325556.0
178,2015/9/11,101,20586,306,407,offline,964.0,28,26992.0
179,2015/9/11,101,20810,306,407,offline,671.0,206,138226.0
180,2015/9/11,101,21297,306,407,offline,1213.0,59,71567.0
181,2015/9/11,102,20323,305,412,offline,96.0,106,10176.0
182,2015/9/11,102,21881,306,407,offline,516.0,29,14964.0
183,2015/9/11,104,20003,301,405,online,742.0,22,16324.0
184,2015/9/11,104,20416,301,405,online,769.0,24,18456.0
185,2015/9/11,102,20174,303,401,offline,1667.0,20,33340.0
186,2015/9/11,102,20680,306,407,offline,1141.0,18,20538.0
187,2015/9/11,105,21787,302,408,online,889.0,253,224917.0
188,2015/9/11,105,21819,306,402,online,271.0,58,15718.0
189,2015/9/11,105,21254,306,402,online,381.0,39,14859.0
190,2015/9/11,105,21937,306,407,online,706.0,46,32476.0
191,2015/9/11,105,20194,305,412,online,201.0,25,5025.0
192,2015/9/11,105,21122,306,407,online,1031.0,112,115472.0
193,2015/9/11,105,20650,306,407,online,744.0,48,35712.0
194,2015/9/11,102,21542,306,407,offline,676.0,57,38532.0
195,2015/9/11,102,22082,305,412,offline,2009.0,6,12054.0
196,2015/9/11,102,20082,305,412,offline,1153.0,17,19601.0
197,2015/9/11,102,21052,303,401,offline,1509.0,16,24144.0
198,2015/9/11,102,20607,306,407,offline,726.0,102,74052.0
199,2015/9/11,102,21350,305,412,offline,254.0,101,25654.0
200,2015/9/11,102,20989,302,408,offline,1505.0,8,12040.0
201,2015/9/11,103,21542,306,407,offline,683.0,107,73081.0
202,2015/9/11,103,20916,306,407,offline,486.0,304,147744.0
203,2015/9/11,102,20850,306,407,offline,598.0,36,21528.0
204,2015/9/11,102,21475,306,407,offline,1287.0,130,167310.0
205,2015/9/11,102,20584,306,407,offline,774.0,24,18576.0
206,2015/9/11,102,21003,306,407,offline,592.0,57,33744.0
207,2015/9/11,102,20498,306,407,offline,673.0,1004,675692.0
208,2015/9/11,102,20043,302,408,offline,1218.0,11,13398.0
209,2015/9/11,102,21690,303,401,offline,567.0,252,142884.0
210,2015/9/11,103,20260,306,407,offline,611.0,306,186966.0
211,2015/9/11,103,22041,306,407,offline,805.0,22,17710.0
212,2015/9/11,101,20826,302,408,offline,1239.0,124,153636.0
213,2015/9/11,105,20354,303,401,offline,1419.0,9,12771.0
214,2015/9/11,105,20883,306,407,offline,2315.0,3,6945.0
215,2015/9/11,102,20977,302,408,offline,488.0,49,23912.0
216,2015/9/11,103,21295,302,408,offline,785.0,32,25120.0
217,2015/9/11,102,20230,306,407,offline,876.0,57,49932.0
218,2015/9/11,102,20780,306,407,offline,924.0,207,191268.0
219,2015/9/11,101,20780,306,407,offline,924.0,58,53592.0
220,2015/9/11,101,20584,306,407,offline,786.0,67,52662.0
221,2015/9/11,101,20498,306,407,offline,685.0,32,21920.0
222,2015/9/11,101,21739,306,407,offline,767.0,36,27612.0
223,2015/9/11,101,20498,306,407,offline,676.0,51,34476.0
224,2015/9/11,101,22047,306,407,offline,996.0,59,58764.0
